AKTV,#genre#
CCTV2,https://api.livednow.org/migu/631780532?sign=gAAAAABnJcJqr0fwyjCRZenumPiYq29AgCGZbexK2XyM9exSQfwePDL4rwLxMaYmUy5BI5tmZ3p5Opg3XGESQyj1Myyx8xlfa--CzghtRa5MzC5lgOOROQFokKNIjS1xgPhehkOToP6coFx9T1FJaYtv8R7vSMPYGiBtsqx-CdWfMNReSPjRaDJSSrjZ0WKCW5GajQiFiD1fOBTLjS-S7V-uzyIxCqKWiQ%3D%3D$咪咕1080
CCTV3,https://api.livednow.org/migu/624878271?sign=gAAAAABnJcJqBzuFtK_e-R8Y5zzuNWtH9dD5ErIUOw3PaGq-2cUt_ty4tVxaFlKDox0cB51jc5h1UbnYdWwVB34WOYuNc8lg2HAeZSq8eQxhLSx7-W74CNR6KtgxXvTUzW_5zsQ33PZEpqm7sIuxliL32bQtzxcIIdpid2Gub7vsNYzKJWuVjAicsjoVCenU41Q5dMi8XPDUfnmgkYYiwWzmBdMXqP4I5A%3D%3D$咪咕1080
CCTV4,https://api.livednow.org/migu/631780421?sign=gAAAAABnJcJqz7oNO-xridbK_3LKb0rcdjVs_WY_BR-BFoq8eOg8Qvn3RMaRgOohlrGPc3mJhNalk-OevwcUL7y3ObKzAeZuWtWBxqyoXyW34cmtmAnNx9EC9rXDbjauxADNT6Li789Xmb3ezb7EUlD91o2aUf1qh-cxlGyyOjS9aZEyU-1CBA-uJhURtKm5m9k2wQBuSTDlSq_X2EYHz1jXzPXsKoJ7eA%3D%3D$咪咕1080
CCTV5,https://api.livednow.org/migu/641886683?sign=gAAAAABnJcJq1zvWEm2fLwSljJPThpBYL_E8K7V3Vjqwa1MKKvqUi_E3bRWybwa_x3oX2iF9HH-wEJfMaE_5OvwPzGGu3NicPIuQA4yciDbKNZf7joK5ZUFzK0L36mvXUWWl9JorCKCXbQ62LAhIlbf2kzScSCcb9oUHPKWds9wWjWjam34gaFfwW7rHxvnvlcqRaj88yHfSrWqHJghFI-bLaFvNz1HoPw%3D%3D$咪咕1080
CCTV5,https://stream1.freetv.fun/e38952ac99520c72833b3fc60ec1552d35fb77a3f2ec8830c77fa3b26639287c.m3u8
CCTV5+,https://api.livednow.org/migu/641886773?sign=gAAAAABnJcJqTze6PuXdG9BEej5eW4BLImQigfoMaUf8uqVsrTWU2XPcpNAQkBcD0muMqEF9LzvxjIx7EBojiQbkHBD5j0Jhgf5-rBwl8jU3IJw5gsTQ2K6WngtWzyYcEmpoNgChlKkREdafyGUHTP8U4-G_ggVp1wP9_OuDXbCnXAQZKWP8e_nvjKVAHWsAfsrkcP2wHVy9aBq_REPOhp0w5W60Na3IcQ%3D%3D$咪咕1080
CCTV6,http://mobilelivetimeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV6,https://api.livednow.org/migu/624878396?sign=gAAAAABnJcJqCeZPI9pdAJI3zwOoz9SDiYBoZQL2_YxTBPm_gj4SRFhG652Dpip8x7O4oFhlJnHFS7Q4Kf_7eU_C9FrHiwmE9NDcuC5hEnGmyVWm8ntsvjsPsht86e15yA-OlkJj8m8OOe0qL_OVbjhSq3iySwkXSGvcKXQvvn6bYSRHZOe8Fc0EhG8AsW_DtSzMfG2-4VfItHk5oSqULRJ7DuT8Hr-neQ%3D%3D$咪咕1080
CCTV7,https://api.livednow.org/migu/673168121?sign=gAAAAABnJcJqjxuw5GDu1iojWpw4c-mjlefodslPuTvBI0grkKhdH8h_8I3xIavNltrXtbWMtHw2egHRBx-ciorem6WfS3xSWscFzvRmGcIdMlNJzhJ72fhC6f4jukCtJf6F79fYHQr5HfVJPSsBq9qCvVa1xZUsL40rtzOqtvaErO6BDEcA1JD4CyrNUboyvMBD11iNwc58nYXZiV-cubZaPaet8B6Xyg%3D%3D$咪咕1080
CCTV8,https://api.livednow.org/migu/624878356?sign=gAAAAABnJcJqw9dP6jwWUpKtifWTU97cE4kDpJmHWTbZD1ezcD3BLnqA4kJ_aSSQhe-ijrx2Z5Bm-wNBbguJ08avBolBe_yGvaJ1XKsKys_EAvx1QOauipvQfuKV15NrpBtQEMBADkCRzEwhHzbrcugddFVzwBFgmu7RrqSIIe848HA7b03yYseeTrXmOBJr1i1i99vgEUQOlaa1ismbhcTCecoRnyCfpQ%3D%3D$咪咕1080
CCTV9,https://api.livednow.org/migu/673168140?sign=gAAAAABnJcJqdqv3pFhYgBnmgGSIbZzHbX-DBJ-zNXsXFK68-5Wan9QqWYyKUxKv-XaTGYQIel_BUzZGYjzs5NPKiqPSXuul1GUOzl4VFlTGdyR6nNrAKB_lLRVjYzhVt6KX7j3DAzD44tiZocsNItrAhkJX7yIj6OGUq8s_mfXT_nlO_Xmgp4LUF7YnUnrICTc0LNBR-pQ1H2eiQcO2V6TCwrqhcHkABg%3D%3D$咪咕1080
CCTV10,https://api.livednow.org/migu/624878405?sign=gAAAAABnJcJqUD0VJHgW_jpi9fSEDhVqtVpgjlm5l2RFB5crphtq4Lgd1pE-Tc_n_qCmd9kwraXg4RZcc0KxzMy3Ef70prdHPMgkFbuJGwsobC29UUm_Kh7XbBVy-fqPer-IzPfc4oRJ10aPTq5_azxz8u2Qp6Ay2EYOLMg1O-EnQ79eNgaXc-2s1ccgdc5zllFwTrdP0XNkac4cX20eCWKPBULxodi6KQ%3D%3D$咪咕1080
CCTV11,https://api.livednow.org/migu/667987558?sign=gAAAAABnJcJq0uxG3wXdtrtqiIBCWRnKBVOa5nG_MrcR-XE_FxKhhSx7qj7d71b67HWtpFnV2yWlbi0DB4eVSBIi6y6ATRTRy-BAzHYzmANZxHCzKfrpNUunkDnLY0q7rIKTNSg3JuHII5wLmoBSDoeTzc8Tt6xXcUd5Hv-oHFU6L8gBAJjtBl6u0vGjL4NCXzTdg5rTNQf-Lx3S3ew-DiWy1XnrFEc26g%3D%3D$咪咕1080
CCTV12,https://api.livednow.org/migu/673168185?sign=gAAAAABnJcJqfs_3emdJIy9mYYyN6M29-FRfMp5HBvyku5jviEWtan66IU2XguJLoP7tu5be63y71Amc1LQKABsz3w4K4MYcVJZQ2FpXjnYoI80vaFeq2t-GfRY3n-XhzImihJvGiPd8fDG9pEIVWSneLNgmMkomXAfDlza_TggSrlVcSDkpi6DsXXNOBLsIpsHdWRSbJtzbhkX3j0w7KzFZhMevYAkEqg%3D%3D$咪咕1080
CCTV13,https://api.livednow.org/migu/608807423?sign=gAAAAABnJcJqWcv58U6OGzQabwzd_fRQdYIiL56pNYvWDLYx8OqIYIZTaT5ceZHRyt06wODism6P1aOwUkuZhiEfldQ55DPEyxVt51QPQHSDakx6DZ2ucwlxwe6nUNX83Y9VomRK3nxUdOy7T5XXGKyCDKucirezIa1eLScwKqq2ONtkQFwIsf7M2R3c5RDB5YQ6uMRY3eA0hSaiRTacGYQSjA_U1rUG5g%3D%3D$咪咕1080
CCTV14,https://api.livednow.org/migu/624878440?sign=gAAAAABnJcJqbiZjvH8WPpn2MSC9d1plZ1uK5RoepfZ6jSSLDNY5MEkVmC6AeWa4kDMXAhPgpPm331nzJkqByvIwyJ1nvMCSyjAqVA9m3RE7fIRDF80f2H3UCJLesDEifymvAsoH5oyavOgYS4KyiZ0tkA_xHI22m-bhjRbDPbkfrr9U1pLOLTTNKxCBVpne91De96PBMhcK7JpHMEqngGthOBNZS4YfMg%3D%3D$咪咕1080
CCTV15,https://api.livednow.org/migu/673168223?sign=gAAAAABnJcJqidnXewNhy-gri2ybb9iscI03y5nc62Syy1VqIhpbG4NsKVFHcgll52_xUKgwrWb5UR4xUTuxZnXcZ0qybFuneRF7vganvFXXcsbCxEG1p3RlEZw2hsCJ2G64570EsLkHymrjb0T7NBsJQyYJplJRLJFEd2gRpP40XLLJYTwJTmIC9b2eeLAZy4YEIn8-g7uBCctAPZtXqq8lS4vOcoHLSQ%3D%3D$咪咕1080
CCTV17,https://api.livednow.org/migu/673168256?sign=gAAAAABnJcJqaH7zxsZ2sHzgLIrp3fHULs5VLTwRm5kvc_YZnCZDZdFCwKXL_yaXA5nFcCZPD0omVJwDapyQUilo6R4kQgEmlWfnDyA0UbxOdEjCzJ9SHIiV_53r4aaArZ0IL_Aq0Mhm7cM6wcQ1EeLovgqiDPnCeUF2j3_KgX74Wh-ZpYuDKkQNsfBaJ1_P09_8SukvS2dsHXG-Tkr2RbVUU9z4qmS7iw%3D%3D$咪咕1080

CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV13,http://lives.jnnews.tv/video/s10001-cctv/index.m3u8

CCTV1,http://home.918518.xyz:12121/ysptp/cctv1.m3u8
CCTV2,http://home.918518.xyz:12121/ysptp/cctv2.m3u8
CCTV3,http://home.918518.xyz:12121/ysptp/cctv3.m3u8
CCTV4K,http://home.918518.xyz:12121/ysptp/cctv4k_10m.m3u8
CCTV4K,http://home.918518.xyz:12121/ysptp/cctv4k.m3u8
CCTV4,http://home.918518.xyz:12121/ysptp/cctv4.m3u8
CCTV5,http://home.918518.xyz:12121/ysptp/cctv5.m3u8
CCTV5+,http://home.918518.xyz:12121/ysptp/cctv5p.m3u8
CCTV6,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202
CCTV7,http://home.918518.xyz:12121/ysptp/cctv7.m3u8
CCTV8,http://home.918518.xyz:12121/ysptp/cctv8.m3u8
CCTV8K,http://home.918518.xyz:12121/ysptp/cctv8k_36m.m3u8
CCTV8K,http://home.918518.xyz:12121/ysptp/cctv8k_120m.m3u8
CCTV9,http://home.918518.xyz:12121/ysptp/cctv9.m3u8
CCTV10,http://home.918518.xyz:12121/ysptp/cctv10.m3u8
CCTV11,http://home.918518.xyz:12121/ysptp/cctv11.m3u8
CCTV12,http://home.918518.xyz:12121/ysptp/cctv12.m3u8
CCTV13,http://home.918518.xyz:12121/ysptp/cctv13.m3u8
CCTV14,http://home.918518.xyz:12121/ysptp/cctv14.m3u8
CCTV15,http://home.918518.xyz:12121/ysptp/cctv15.m3u8
CCTV16,http://home.918518.xyz:12121/ysptp/cctv4k16_10m.m3u8
CCTV16,http://home.918518.xyz:12121/ysptp/cctv4k16.m3u8
CCTV16,http://home.918518.xyz:12121/ysptp/cctv16.m3u8
CCTV17,http://home.918518.xyz:12121/ysptp/cctv17.m3u8


CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8$移动|回看
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8$移动|回看
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8$移动|回看
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8$移动|回看
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8$移动|回看
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8$移动|回看
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8$移动|回看
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8$移动|回看
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8$移动|回看
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8$移动|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8$移动|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8$移动|回看
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8$移动|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8$移动|回看
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8$移动|回看
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8$移动|回看
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8$移动|回看
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8$移动|回看
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8$移动高清|回看
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8$移动高清|回看
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8$移动高清|回看
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8$移动高清|回看

CCTV1,http://183.207.248.71/PLTV/3/224/3221228213/1.m3u8$南京移动|回看
CCTV2,http://183.207.248.71/PLTV/3/224/3221228300/1.m3u8$南京移动|回看
CCTV3,http://183.207.248.71/PLTV/3/224/3221228392/1.m3u8$南京移动|回看
CCTV4,http://183.207.248.71/PLTV/3/224/3221227658/1.m3u8$南京移动|回看
CCTV5,http://183.207.248.71/PLTV/3/224/3221228395/1.m3u8$南京移动|回看
CCTV5+,http://183.207.248.71/PLTV/3/224/3221228277/1.m3u8$南京移动|回看
CCTV6,http://183.207.248.71/PLTV/3/224/3221228280/1.m3u8$南京移动|回看
CCTV7,http://183.207.248.71/PLTV/3/224/3221227314/1.m3u8$南京移动|回看
CCTV8,http://183.207.248.71/PLTV/3/224/3221228398/1.m3u8$南京移动|回看
CCTV9,http://183.207.248.71/PLTV/3/224/3221227659/1.m3u8$南京移动|回看
CCTV10,http://183.207.248.71/PLTV/3/224/3221227620/1.m3u8$南京移动|回看
CCTV11,http://183.207.248.71/PLTV/3/224/3221227720/1.m3u8$南京移动|回看
CCTV12,http://183.207.248.71/PLTV/3/224/3221227655/1.m3u8$南京移动|回看
CCTV13,http://183.207.248.71/PLTV/3/224/3221228324/1.m3u8$南京移动|回看
CCTV14,http://183.207.248.71/PLTV/3/224/3221227693/1.m3u8$南京移动|回看
CCTV15,http://183.207.248.71/PLTV/3/224/3221227723/1.m3u8$南京移动|回看
CCTV16,http://183.207.248.71/PLTV/3/224/3221228112/1.m3u8$南京移动|回看
CCTV17,http://183.207.248.71/PLTV/3/224/3221227578/1.m3u8$南京移动|回看



全国卫视,#genre#

安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225925/1.m3u8$移动高清|回看
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225931/1.m3u8$移动高清|回看
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225942/1.m3u8$移动高清|回看
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221225950/1.m3u8$移动高清|回看
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225966/1.m3u8$移动高清|回看
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221225974/1.m3u8$移动高清|回看
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225961/1.m3u8$移动高清|回看
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221225975/1.m3u8$移动高清|回看
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225938/1.m3u8$移动高清|回看
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225935/1.m3u8$移动高清|回看
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221225952/1.m3u8$移动高清|回看
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8$移动高清|回看
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221225970/1.m3u8$移动高清|回看
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221225972/1.m3u8$移动高清|回看
浙江卫视,http://39.134.67.108/PLTV/88888888/224/3221225959/1.m3u8$移动高清|回看
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221225963/1.m3u8$移动高清|回看


浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8#http://live.ybtvyun.com/video/s10016-6f0dfd97912f/index.m3u8
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/playlist.m3u8 
厦门卫视,https://live1b.kxm.xmtv.cn/xmtvbf/tvzb/live.m3u8 
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0
兵团卫视,http://liveout.btzx.com.cn/62ds9e/yil08g.m3u8#https://test5.btzx.com.cn/live/2023bt.stream/playlist.m3u8
云南卫视,http://hwzbout.yntv.net/62hdvf/41hse3.flv
山东卫视,http://lives.jnnews.tv/video/s10001-SDTV/index.m3u8
西藏卫视,http://php.jdshipin.com:8880/xztv.php?id=ws



广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=9e5008d4b91944fa76a957a93ae54870&txTime=1903e5f1cfd
广州影视,https://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=ec79a0d817981989c161f548c48c2954&txTime=1903e79e680
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=4c09e8c2d093bcb692e036ae54ff87c7&txTime=1903e37cd8a
广州竞赛,https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=9be68e7c35579d02d11f6968531343ea&txTime=1903ea2dd6a
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=040cda8ae37088f2b96bea7b68bd0eb5&txTime=1903e5b8abe
广州南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de
广州南国都市4K,http://58.144.154.93/tencentplay.gztv.com/live/nanguodushi.m3u8

电影轮播,#genre#

电影_星爷,http://120.77.28.4:8648/huya.php?id=11342412
电影_英叔,http://120.77.28.4:8648/huya.php?id=11342421
电影_发哥,http://120.77.28.4:8648/huya.php?id=11342387
电影_成龙,http://120.77.28.4:8648/huya.php?id=11342386
电影_王晶,http://120.77.28.4:8648/huya.php?id=11602058
电影_沈腾,http://120.77.28.4:8648/huya.php?id=11601968
电影_黄渤,http://120.77.28.4:8648/huya.php?id=11352876
电影_强森,http://120.77.28.4:8648/huya.php?id=21059581
电影_周星星,http://120.77.28.4:8648/huya.php?id=11336587
电影_李连杰,http://120.77.28.4:8648/huya.php?id=11342390
电影_洪金宝,http://120.77.28.4:8648/huya.php?id=11279251
电影_梁家辉,http://120.77.28.4:8648/huya.php?id=11342429
电影_刘德华,http://120.77.28.4:8648/huya.php?id=11342424
电影_斯坦森,http://120.77.28.4:8648/huya.php?id=21059588
电影_蜘蛛侠,http://120.77.28.4:8648/huya.php?id=21059599
电影_漫威,http://120.77.28.4:8648/huya.php?id=11602034
电影_宇宙,http://120.77.28.4:8648/huya.php?id=11342428
电影_怪兽,http://120.77.28.4:8648/huya.php?id=21059577
电影_武侠,http://120.77.28.4:8648/huya.php?id=11342427
电影_警匪,http://120.77.28.4:8648/huya.php?id=11352886
电影_罪犯,http://120.77.28.4:8648/huya.php?id=11352962
电影_枪战,http://120.77.28.4:8648/huya.php?id=21059579
电影_海盗,http://120.77.28.4:8648/huya.php?id=21059595
电影_赛车,http://120.77.28.4:8648/huya.php?id=11279247
电影_推荐,http://120.77.28.4:8648/huya.php?id=11602041
电影_救援,http://120.77.28.4:8648/huya.php?id=21059594
电影_热血,http://120.77.28.4:8648/huya.php?id=11352934
电影_盗墓,http://120.77.28.4:8648/huya.php?id=21059552
电影_贺岁,http://120.77.28.4:8648/huya.php?id=11601971
电影_玄幻,http://120.77.28.4:8648/huya.php?id=11342414
电影_谍战,http://120.77.28.4:8648/huya.php?id=21059585
电影_战争,http://120.77.28.4:8648/huya.php?id=21059592
电影_喜剧,http://120.77.28.4:8648/huya.php?id=11352877
电影_港片,http://120.77.28.4:8648/huya.php?id=11602043
电影_国产,http://120.77.28.4:8648/huya.php?id=11352973
电影_贺岁片,http://120.77.28.4:8648/huya.php?id=11601986
电影_功夫片,http://120.77.28.4:8648/huya.php?id=11352941
电影_黑帮片,http://120.77.28.4:8648/huya.php?id=11336719
电影_丧尸片,http://120.77.28.4:8648/huya.php?id=21059578
电影_灾难片,http://120.77.28.4:8648/huya.php?id=11602075
电影_谍战片,http://120.77.28.4:8648/huya.php?id=21059587
电影_战争片,http://120.77.28.4:8648/huya.php?id=21059574
电影_犯罪片,http://120.77.28.4:8648/huya.php?id=11352974
电影_古装片,http://120.77.28.4:8648/huya.php?id=11336590
电影_小鬼头,http://120.77.28.4:8648/huya.php?id=11352963
电影_八点档,http://120.77.28.4:8648/huya.php?id=880261
电影_高分动作,http://120.77.28.4:8648/huya.php?id=11352884
电影_动作电影,http://120.77.28.4:8648/huya.php?id=11602077
电影_搞笑喜剧,http://120.77.28.4:8648/huya.php?id=11342423
电影_喜剧专场,http://120.77.28.4:8648/huya.php?id=11602044
电影_欢笑影院,http://120.77.28.4:8648/huya.php?id=11352894
电影_不挤影院,http://120.77.28.4:8648/huya.php?id=11352897
电影_国产悬疑,http://120.77.28.4:8648/huya.php?id=11342395
电影_快意江湖,http://120.77.28.4:8648/huya.php?id=11342435
电影_黑帮斗争,http://120.77.28.4:8648/huya.php?id=11342419
电影_嫣然影厅,http://120.77.28.4:8648/huya.php?id=11601977
电影_许氏三杰,http://120.77.28.4:8648/huya.php?id=11602033
电影_经典港片,http://120.77.28.4:8648/huya.php?id=11352965
电影_镖行天下,http://120.77.28.4:8648/huya.php?id=11352969
电影_高能反转,http://120.77.28.4:8648/huya.php?id=11352887
电影_喜乐影院,http://120.77.28.4:8648/huya.php?id=21059580
电影_蘑菇影厅,http://120.77.28.4:8648/huya.php?id=11601981
电影_搞笑恐怖,http://120.77.28.4:8648/huya.php?id=11601960
电影_死神来了,http://120.77.28.4:8648/huya.php?id=11352903
电影_变形金刚,http://120.77.28.4:8648/huya.php?id=21059596
电影_怪兽系列,http://120.77.28.4:8648/huya.php?id=21059554
剧集_老三国,http://120.77.28.4:8648/huya.php?id=11602081
剧集_新三国,http://120.77.28.4:8648/huya.php?id=11352944
剧集_新水浒,http://120.77.28.4:8648/huya.php?id=11342384
剧集_纪晓岚,http://120.77.28.4:8648/huya.php?id=11342396
剧集_庆余年,http://120.77.28.4:8648/huya.php?id=11352960
剧集_庆余年,http://120.77.28.4:8648/huya.php?id=11336592
剧集_雍正王朝,http://120.77.28.4:8648/huya.php?id=11342439
剧集_士兵突击,http://120.77.28.4:8648/huya.php?id=11342430
剧集_爱情公寓,http://120.77.28.4:8648/huya.php?id=11336726
剧集_武林外传,http://120.77.28.4:8648/huya.php?id=21059598
剧集_地下交通站,http://120.77.28.4:8648/huya.php?id=11342433
剧集_邻里一家亲,http://120.77.28.4:8648/huya.php?id=11342426
搞笑_陈翔六点半,http://120.77.28.4:8648/huya.php?id=11274154
解说_鹿哥电影,http://120.77.28.4:8648/huya.php?id=24396360
解说_斌哥漫说,http://120.77.28.4:8648/huya.php?id=18632116
解说_续哥说电影,http://120.77.28.4:8648/huya.php?id=24396472
解说_小川侃电影,http://120.77.28.4:8648/huya.php?id=15870999
解说_阿良说剧,http://120.77.28.4:8648/huya.php?id=20488841
解说_鱼丸电影,http://120.77.28.4:8648/huya.php?id=16615910
解说_阿斗说电影,http://120.77.28.4:8648/huya.php?id=13303478
解说_扁豆看电影,http://120.77.28.4:8648/huya.php?id=16028551
解说_乌贼说电影,http://120.77.28.4:8648/huya.php?id=16604522
解说_大象放映室,http://120.77.28.4:8648/huya.php?id=21277391
解说_科幻梦工场,http://120.77.28.4:8648/huya.php?id=15152155
解说_亮哥讲电影,http://120.77.28.4:8648/huya.php?id=16144175
解说_越哥说电影,http://120.77.28.4:8648/huya.php?id=15894162
解说_小冉看电影,http://120.77.28.4:8648/huya.php?id=17341907
解说_阿翔说电影,http://120.77.28.4:8648/huya.php?id=16868935
解说_虎妞说电影,http://120.77.28.4:8648/huya.php?id=20343144
解说_涵哥评电影,http://120.77.28.4:8648/huya.php?id=16865726
解说_老皮讲电影,http://120.77.28.4:8648/huya.php?id=16968572
解说_默爷侃电影,http://120.77.28.4:8648/huya.php?id=17204307
解说_冷君说电影,http://120.77.28.4:8648/huya.php?id=16739452
解说_恐怖电影解说,http://120.77.28.4:8648/huya.php?id=16741179
